 StandbyMe ThePalmBeachStory Lola StreetAngel ShockCorridor NightoftheLivingDead DiaryofaCountryPriest Trainspotting TheLifeofOharu FloatingWeeds ModernTimes FlowersofShanghai TheGraduate TheSorrowandthePity GreyGardens ChronicleofaSummer RedSorghum TheShopAroundtheCorner RaisingArizona TheMotherandtheWhore Daisies MaryPoppins TheNuttyProfessor Intolerance BytheBluestofSeas Saraband TheAgeofInnocence MonsieurVerdoux EternalSunshineoftheSpotlessMind LostHighway AnatomyofaMurder VoyageinItaly Nostalghia Carodiario BeingThere BladeRunner TheGodfather TheWickerMan Z ThePassenger TopHat TheNightoftheHunter SevenSamurai Badlands LostinTranslation ChildrenofMen Ossessione Rashomon TheGoddess ShadowsofOurForgottenAncestors BiggerThanLife TwinPeaks_FireWalkwithMe TheNakedIsland SpiritedAway Psycho BlackGirl FiresWereStarted TheAsphaltJungle Dogville DieHard
Larry NA NA 7 10 NA 4 8 NA NA NA NA NA 3 10 NA 2 1 NA 3 NA NA 6 NA NA NA 7 5 NA NA 3 NA NA NA NA 9 8 NA NA 7 NA NA 6 NA 2 2 NA NA 3 NA NA NA NA NA NA NA NA NA NA 7 7
Alayna 9 NA 6 NA 3 5 NA NA NA NA 3 1 9 NA NA NA NA NA NA NA 7 NA 1 7 4 NA NA NA NA 1 NA 1 9 NA NA NA 5 NA 3 NA NA NA NA NA 7 NA 8 2 4 NA NA NA 9 8 NA NA NA 8 10 NA
Sophie 10 NA NA NA NA NA NA NA 1 NA NA 5 NA 4 8 4 NA NA 9 NA NA 4 NA NA 10 7 2 NA NA 10 8 NA NA NA NA NA 7 NA NA NA NA NA NA NA NA NA 9 NA 8 NA NA NA NA NA 8 NA NA NA 2 NA
Alina NA NA 7 NA NA NA 1 NA 8 8 NA 5 NA 2 NA NA 10 8 10 NA NA NA 6 7 9 NA NA 7 NA NA 6 4 NA 9 7 NA NA 6 5 1 NA NA NA 1 5 8 NA NA NA NA 8 NA NA NA 2 NA 5 7 NA NA
Duncan NA 1 8 9 5 NA NA NA 9 NA NA NA 2 NA NA NA NA NA NA 9 NA NA NA 8 NA 5 NA NA NA NA NA 8 3 NA NA 8 2 NA 3 NA NA 9 NA 10 NA NA NA NA 4 NA 7 NA 5 NA 8 NA 5 4 NA NA
Allison 8 NA NA NA 9 NA 8 5 NA NA NA NA 7 NA NA 7 5 NA NA NA 4 3 NA NA NA 7 NA NA 2 NA 3 NA 10 NA NA NA NA NA NA NA NA NA NA 1 1 NA 10 4 NA 6 NA NA NA NA 7 7 9 NA NA NA
Pierce NA 1 7 NA 4 NA NA NA NA NA NA NA NA NA 10 5 NA NA 2 NA 9 NA 2 NA NA 5 NA NA NA NA NA 2 NA 1 8 4 NA 6 NA NA 6 NA 10 NA NA NA NA NA 3 NA 9 NA 9 4 NA 1 NA NA 3 5
Tiffany 2 8 NA NA 4 NA NA NA NA 6 5 NA 2 8 7 NA 7 NA NA NA NA NA 5 NA NA 4 3 7 NA 9 NA NA NA NA NA 3 NA NA 2 NA NA NA 5 10 NA NA NA NA 9 NA NA NA NA 7 NA NA NA NA NA NA
Angelo NA NA NA NA 8 NA NA NA NA NA NA NA NA 10 NA NA NA 3 NA NA NA NA 7 2 NA NA NA NA 2 2 NA 2 1 NA NA 7 NA NA NA 8 NA NA NA NA NA NA 6 NA NA 5 NA 2 NA NA 10 NA NA NA NA 3
Rudy 7 NA 8 NA NA NA 9 1 8 2 NA NA 5 NA NA NA 8 1 NA NA 8 9 NA NA NA NA NA 4 NA 1 9 NA 1 9 NA NA 1 NA NA NA NA NA NA NA NA NA 1 8 NA NA NA NA NA 4 9 NA NA 6 NA 3
Jedidiah NA 7 4 2 NA NA NA 3 NA NA 8 NA NA 7 10 8 NA 2 NA 10 NA NA NA 8 NA 10 5 NA 4 5 NA 9 NA NA NA 7 NA NA 5 NA NA NA NA 7 5 NA 2 NA NA NA 9 3 NA NA NA 5 NA NA 3 NA
Octavia NA NA 9 8 6 NA 1 NA NA NA NA 9 NA 10 NA NA NA 3 NA 3 NA 8 NA NA NA NA NA 8 NA 5 7 NA 3 7 3 8 9 1 NA 10 NA NA NA NA 3 1 NA NA NA 3 1 NA NA 9 NA NA NA NA 5 NA
